文件路径,组件类型,父组件,导入的API函数,URL,说明,来自子组件,子组件路径,导入的组件,是否有API调用
"yxxtOld/index","2级路由","","viewXsxxBd","/yxxt/v3/xgYxXsxx/bd/view","viewXsxxBd","","","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","yxInfoTop","/yxxt/v3/xgYxXxfb/list","yxInfoTop","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getxgJczyQrcode","/jczy/v3/xgJczyQrcode/generate","getxgJczyQrcode","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getFormData","/business/v3/form/def/getFormData","通过formkey获取表单定义数据@param {} paramsexport function getFormDataByFormKey(params) {return request({url: FORM_URL() + '/form/def/getFormDataByFormKey',method: 'get',params})}获取表单定义数据@param {} params","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryfwsz","/yxxt/v3/xgYxXsfwsz/query","queryfwsz","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getwcqk","/yxxt/v3/xgYxXsfwbl/wcqk","getwcqk","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryQyfwkp","/yxxt/v3/xgYxXsfwkpsz/queryQyfwkp","queryQyfwkp","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryZxwt","/yxxt/v3/xgYxZxwt/query","queryZxwt","commonProblem","/views/modules/yxxtOld/components/commonProblem.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryPageList","/platform/v3/system/news/query","查询列表数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","remove","/platform/v3/system/news/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/system/news/query',method: 'post',data: params})}删除数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","save","/platform/v3/system/news/save","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/system/news/remove',method: 'post',isLoading: true,params: params})}保存数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","saveDraft","/platform/v3/system/news/saveDraft","保存数据@param {} paramsexport function save(params) {return request({url: SYSTEM_URL() + '/system/news/save',method: 'post',isLoading: true,data: params})}保存草稿数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","get","/platform/v3/system/news/get","保存草稿数据@param {} paramsexport function saveDraft(params) {return request({url: SYSTEM_URL() + '/system/news/saveDraft',method: 'post',isLoading: true,data: params})}获取数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","load","/platform/v3/employee/load","获取数据@param {} paramsexport function get(params, isLoading = false) {return request({url: ORG_URL() + '/employee/get',method: 'get',params,isLoading})}获取数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","remove","/platform/v3/file/attachment/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/file/attachment/query',method: 'post',data: params})}删除数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","uploadFile","/platform/v3/file/upload","文件上传@param {} file@param {} uploadFileVo","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryPageList","/platform/v3/file/attachment/query","查询列表数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","findByCategoryKey","/platform/v3/cat/type/findByCategoryKey","根据分类组键获取分类信息@param {} paramsexport function findTreeData(params) {return request({url: CAT_URL() + '/cat/type/findTreeData',method: 'get',params})}根据分类组键获取分类信息@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","findTreeData","/platform/v3/cat/type/findTreeData","根据分类组键获取分类信息@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","viewXsxxBd","/yxxt/v3/xgYxXsxx/bd/view","viewXsxxBd","newStudentRegistrationForm","/views/modules/yxxtOld/components/newStudentRegistrationForm.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryLchj","/yxxt/v3/xgYxLchj/query","queryLchj","newStudentRegistrationForm","/views/modules/yxxtOld/components/newStudentRegistrationForm.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo","newStudentRegistrationForm","/views/modules/yxxtOld/components/newStudentRegistrationForm.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"/announcement","1级路由","yxxtOld","queryPageList","/platform/v3/system/news/query","查询列表数据@param {} params","","","index, edit","是"
"/announcement","1级路由","yxxtOld","remove","/platform/v3/system/news/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/system/news/query',method: 'post',data: params})}删除数据@param {} params","","","index, edit","是"
"/announcement","1级路由","yxxtOld","save","/platform/v3/system/news/save","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/system/news/remove',method: 'post',isLoading: true,params: params})}保存数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","saveDraft","/platform/v3/system/news/saveDraft","保存数据@param {} paramsexport function save(params) {return request({url: SYSTEM_URL() + '/system/news/save',method: 'post',isLoading: true,data: params})}保存草稿数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","get","/platform/v3/system/news/get","保存草稿数据@param {} paramsexport function saveDraft(params) {return request({url: SYSTEM_URL() + '/system/news/saveDraft',method: 'post',isLoading: true,data: params})}获取数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","load","/platform/v3/employee/load","获取数据@param {} paramsexport function get(params, isLoading = false) {return request({url: ORG_URL() + '/employee/get',method: 'get',params,isLoading})}获取数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","query","/platform/v3/employee/query","查询列表数据[用于用户选择器使用]@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","get","/platform/v3/employee/get","获取数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","findTreeData","/platform/v3/org/findTreeData","findTreeData","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","get","/platform/v3/org/get","获取数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","getScriptValue","/business/v3/form/def/getScriptValue","获取goovry脚本的值@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","findTreeData","/platform/v3/position/findTreeData","获取制定用户岗位列表@param {} paramsexport function getPositionByUserId(params) {return request({url: ORG_URL() + '/position/findByUserId',method: 'get',params: params})}查询岗位树【懒加载】@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","get","/platform/v3/position/get","获取数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","getScriptValue","/business/v3/form/def/getScriptValue","获取goovry脚本的值@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","queryPageList","/platform/v3/role/queryWithSysBySysId","查询列表数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","queryRoleScope","/platform/v3/role/query","queryRoleScope","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","get","/platform/v3/role/get","获取数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","getScriptValue","/business/v3/form/def/getScriptValue","获取goovry脚本的值@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","findAllSubsystem","/platform/v3/auth/sub/system/findAllSubSystem","查询列表数据","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","remove","/platform/v3/file/attachment/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/file/attachment/query',method: 'post',data: params})}删除数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","uploadFile","/platform/v3/file/upload","文件上传@param {} file@param {} uploadFileVo","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","queryPageList","/platform/v3/file/attachment/query","查询列表数据@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","findByCategoryKey","/platform/v3/cat/type/findByCategoryKey","根据分类组键获取分类信息@param {} paramsexport function findTreeData(params) {return request({url: CAT_URL() + '/cat/type/findTreeData',method: 'get',params})}根据分类组键获取分类信息@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"/announcement","1级路由","yxxtOld","findTreeData","/platform/v3/cat/type/findTreeData","根据分类组键获取分类信息@param {} params","edit","/views/platform/notice/edit.vue","index, edit","是"
"grzx","1级路由","","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","informationCollect","/views/modules/yxxtOld/components/inproveInformation/informationCollect.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo","informationCollect","/views/modules/yxxtOld/components/inproveInformation/informationCollect.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","saveJhrxx","/yxxt/v3/xgYxJtcy/jhr/save","saveJhrxx","informationCollect","/views/modules/yxxtOld/components/inproveInformation/informationCollect.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryJhrxx","/yxxt/v3/xgYxJtcy/jhr/query","queryJhrxx","informationCollect","/views/modules/yxxtOld/components/inproveInformation/informationCollect.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savefwbl","/yxxt/v3/xgYxXsfwbl/save","savefwbl","informationCollect","/views/modules/yxxtOld/components/inproveInformation/informationCollect.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryFwbl","/yxxt/v3/xgYxXsfwbl/query","queryFwbl","informationCollect","/views/modules/yxxtOld/components/inproveInformation/informationCollect.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","updateByAccount","/yxxt/v3/xgYxXsxx/updateByAccount","updateByAccount","informationCollect","/views/modules/yxxtOld/components/inproveInformation/informationCollect.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","viewDzdj","/yxxt/v3/xgYxDzdj/view","viewDzdj","toRegister","/views/modules/yxxtOld/components/inproveInformation/toRegister.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","saveDzdj","/yxxt/v3/xgYxDzdj/save","saveDzdj","toRegister","/views/modules/yxxtOld/components/inproveInformation/toRegister.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savefwbl","/yxxt/v3/xgYxXsfwbl/save","savefwbl","toRegister","/views/modules/yxxtOld/components/inproveInformation/toRegister.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryFwbl","/yxxt/v3/xgYxXsfwbl/query","queryFwbl","toRegister","/views/modules/yxxtOld/components/inproveInformation/toRegister.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","getByKey","/business/v3/data/template/getByKey","判断模版key是否存在@param {} paramsexport function isKeyExists(params) {return request({url: DATA_URL() + '/data/template/isKeyExists',method: 'post',params: params})}获取数据@param {} params","toRegister","/views/modules/yxxtOld/components/inproveInformation/toRegister.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryDataTable","/business/v3/data/template/queryDataTable","获取列表数据@param {} paramsexport function queryDataByKey(params, isLoading = true) {return request({url: DATA_URL() + '/data/template/queryDataByKey',method: 'post',data: params,isLoading})}获取列表数据@param {","toRegister","/views/modules/yxxtOld/components/inproveInformation/toRegister.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","toRegister","/views/modules/yxxtOld/components/inproveInformation/toRegister.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","getAreaData","/platform/v3/cat/area/getData","getAreaData","toRegister","/views/modules/yxxtOld/components/inproveInformation/toRegister.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","setXsxxGrxxwcqk","/yxxt/v3/xgYxXsxx/grxxwcqk/set","setXsxxGrxxwcqk","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryStuRzxx","/ssgl/v3/xgSsglXsrz/queryStuRzxx","queryStuRzxx","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","querySscw","/ssgl/v3/xgSsglXsrz/querySscw","querySscw","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savexgSsglXsrz","/ssgl/v3/xgSsglXsrz/save","savexgSsglXsrz","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savefwbl","/yxxt/v3/xgYxXsfwbl/save","savefwbl","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryFwbl","/yxxt/v3/xgYxXsfwbl/query","queryFwbl","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","remove","/platform/v3/file/attachment/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/file/attachment/query',method: 'post',data: params})}删除数据@param {} params","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","uploadFile","/platform/v3/file/upload","文件上传@param {} file@param {} uploadFileVo","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryPageList","/platform/v3/file/attachment/query","查询列表数据@param {} params","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","findByCategoryKey","/platform/v3/cat/type/findByCategoryKey","根据分类组键获取分类信息@param {} paramsexport function findTreeData(params) {return request({url: CAT_URL() + '/cat/type/findTreeData',method: 'get',params})}根据分类组键获取分类信息@param {} params","primaryDormitory","/views/modules/yxxtOld/components/inproveInformation/primaryDormitory.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","xgYxYxjxfz","/yxxt/v3/xgYxYxjxfz/view","xgYxYxjxfz","militaryUniform","/views/modules/yxxtOld/components/inproveInformation/militaryUniform.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","saveJxfz","/yxxt/v3/xgYxYxjxfz/save","saveJxfz","militaryUniform","/views/modules/yxxtOld/components/inproveInformation/militaryUniform.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savefwbl","/yxxt/v3/xgYxXsfwbl/save","savefwbl","militaryUniform","/views/modules/yxxtOld/components/inproveInformation/militaryUniform.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryFwbl","/yxxt/v3/xgYxXsfwbl/query","queryFwbl","militaryUniform","/views/modules/yxxtOld/components/inproveInformation/militaryUniform.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","getCsypfbzBySfxn","/sfgl/v3/sfxmb/getCsypfbzBySfxn","getCsypfbzBySfxn","chooseProduct","/views/modules/yxxtOld/components/inproveInformation/chooseProduct.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savefwbl","/yxxt/v3/xgYxXsfwbl/save","savefwbl","chooseProduct","/views/modules/yxxtOld/components/inproveInformation/chooseProduct.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryFwbl","/yxxt/v3/xgYxXsfwbl/query","queryFwbl","chooseProduct","/views/modules/yxxtOld/components/inproveInformation/chooseProduct.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo","chooseProduct","/views/modules/yxxtOld/components/inproveInformation/chooseProduct.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savefwbl","/yxxt/v3/xgYxXsfwbl/save","savefwbl","medicalInsurance","/views/modules/yxxtOld/components/inproveInformation/medicalInsurance.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryFwbl","/yxxt/v3/xgYxXsfwbl/query","queryFwbl","medicalInsurance","/views/modules/yxxtOld/components/inproveInformation/medicalInsurance.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo","medicalInsurance","/views/modules/yxxtOld/components/inproveInformation/medicalInsurance.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savefwbl","/yxxt/v3/xgYxXsfwbl/save","savefwbl","healthInsurance","/views/modules/yxxtOld/components/inproveInformation/healthInsurance.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryFwbl","/yxxt/v3/xgYxXsfwbl/query","queryFwbl","healthInsurance","/views/modules/yxxtOld/components/inproveInformation/healthInsurance.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savefwbl","/yxxt/v3/xgYxXsfwbl/save","savefwbl","accountMigration","/views/modules/yxxtOld/components/inproveInformation/accountMigration.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","queryFwbl","/yxxt/v3/xgYxXsfwbl/query","queryFwbl","accountMigration","/views/modules/yxxtOld/components/inproveInformation/accountMigration.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","setXsxxGrxxwcqk","/yxxt/v3/xgYxXsxx/grxxwcqk/set","setXsxxGrxxwcqk","accountMigration","/views/modules/yxxtOld/components/inproveInformation/accountMigration.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","studentLoan","/views/modules/yxxtOld/components/inproveInformation/studentLoan.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
"grzx","1级路由","","savezxdk","/yxxt/v3/xgYxBlzxdk/save","savezxdk","studentLoan","/views/modules/yxxtOld/components/inproveInformation/studentLoan.vue","informationCollect, toRegister, primaryDormitory, militaryUniform, chooseProduct, medicalInsurance, healthInsurance, accountMigration, studentLoan, InformationConfirmation, qualificationExamination, militarySign","是"
